pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,901.8403959537611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,877.7821054756513
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,877.7821054756513
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,877.7821054756513
